company,role,date,status,track,geo,level,sponsor_ok,priority,reason,outreach_play
Healthesystems,"Intern, AI Engineer (PT, Remote)",2026-09-19,received,ai_ml_engineering,Remote-US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Study.com,AI-Native Software Engineer (New Grad),2026-09-19,received,ai_ml_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
EXL,Data Engineer,2026-09-19,received,data_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Sia,Consulting (Data/AI),2026-09-19,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
Lazard,2027 Software Engineer Summer Internship,2026-09-19,received,quant_trading,US,intern,True,LOW,off-track (quant/trading),—
Oracle (EU),Data & AI - Stage,2026-09-19,received,other,EU,intern,True,LOW,geo mismatch (EU),—
Scale AI,Software Engineer Intern (Summer 2027),2026-09-18,rejected,software_engineering,US,intern,True,SKIP,already rejected,—
CapTech,New Grad (Tech),2026-09-18,received,other,US,new_grad,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
MITRE,TECH Futures Intern,2026-09-18,received,other,US,intern,False,SKIP,US-citizenship / clearance gate,—
JPMorgan Chase,2027 Software Engineer Program (FT),2026-09-18,received,software_engineering,US,unknown,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
SimVentions,SEDSS Software Developer,2026-09-18,received,software_engineering,US,unknown,False,SKIP,US-citizenship / clearance gate,—
Inetum Colombia,Ingeniero SQL - Spark,2026-09-18,received,data_engineering,Colombia,unknown,True,LOW,geo mismatch (Colombia),—
NCS,Junior Data Engineer (Databricks),2026-09-18,received,data_engineering,Singapore,new_grad,True,LOW,geo mismatch (Singapore),—
Export Development Canada,Student/New Grad Tech & Analytics (Winter 2027),2026-09-18,received,data_science,Canada,new_grad,True,LOW,geo mismatch (Canada),—
GM Financial,Intern - Technology Innovation Lab,2026-09-18,received,other,US,intern,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
VML MAP,Associate Data Engineer,2026-09-18,received,data_engineering,US,new_grad,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
SharkNinja,Applied AI & Analytics Co-op,2026-09-18,received,ai_ml_engineering,US,intern,True,HIGH,live + on-track + US + sponsor-ok,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
NCS,Junior Data Scientist,2026-09-18,received,data_science,Singapore,new_grad,True,LOW,geo mismatch (Singapore),—
Klaviyo,Software Engineer I,2026-09-17,rejected,software_engineering,US,unknown,True,SKIP,already rejected,—
Booz Allen Hamilton,"Data Scientist, Junior",2026-09-17,received,data_science,US,new_grad,False,SKIP,US-citizenship / clearance gate,—
BIP AI LAB,Junior Data Scientist,2026-09-17,received,ai_ml_engineering,EU,new_grad,True,LOW,geo mismatch (EU),—
WPP,Tech (Data/AI),2026-09-17,received,other,US,unknown,True,MED,live but track=other,"1) recent grads in this exact program (highest reply rate) 2) alumni from your school at the company 3) the req's recruiter / TA. Angle: 'applied to <role>, would value one insight on what makes an app stand out.'"
